id,comentario,clasificación
903,"La unica diferencia positiva a mi parecer es la pantalla de inicio, luego por dentro no varia en lo mas minimo. Como dato negativo comparandola con la antigua version, no permite la carga simultanea de tarjetas de empresas y de personas. O es una u otra. Pero no ambas. Por lo tanto puedo ver las cuentas de la empresa y la personal ya no tengo acceso. No me agrado. Saludos.",
904,"Tenía la versión anterior por buen tiempo no lo actualizaba por los comentarios que venía leyendo, hasta que hace unos días se actualizó la aplicación y es la peor experiencia que he tenido como usuario, porque el app no es nada amigable tiene muchas fallas, cuando quiero hacer pagos no actualiza me resulta confuso. Deberían volver a la antigua aplicación, si van hacer mejoras antes deberían probarlo muy mal.",
905,"Al realizar una transferencia me sale error pero si se realiza la operación y cuando quiero ver el detalle no puedo me deja ver las transferencias que realizo, lo que es un problema porque no se puede tomar captura para enviar dicho comprobante. Pésimo, no me gusta porque en la anterior actualización si se podía ver tus movimientos.",
906,"Después de su última actualización agosto 2021 su aplicación está super lenta, demora la vida en cargar, errores de fecha y errores de ""Ocurrior un problema"",definitivamente una estrella es mucha calificación para esta app, estaré migrando todas mis cuentas al bbva u otro banco, prefiero pagar el costo por la transferencia interbancaria que irme al banco físicamente caba vez que quiero realizar algun trámite. Le recomiendo a todos sus usuarios que hagan los mismo ya pasaron 4 meses sin solución.",
907,"Con la última actualización que lo anunciaron con bombos y platillos esto no pasó a ser una estafa el rendimiento dentro de la app está lenta parece que tiene lag interno, no puedes realizar transferencia o pago de servicios rápido . Deben regresar a su versión anterior. No ayuda para nada la actualización.😩",
908,pésimo sistema las anteriores versiones eran mejores y eran funcionales ahora que trato de ingresar a mi cuenta no se cuelga con el reconocimiento facial y es una pérdida de tiempo ingresar a cada rato para completar el registro de tus datos si estás con la urgencia de hacer un pago o transferencia,
909,"No permite varias ""características comunes"" como: **Detalle de cada movimiento **Hora de los movimientos, y sobre todo; **Constancias (de parte del Aplicativo) de las operaciones en línea(Importante y principal), vendría ser el equivalente a un ""voucher"". **Y otros más.... 👆 Por favor, deben siquiera semejarse a los aplicativos de los otros bancos, que si están a la vanguardia de la tecnología actual Mejoren el Aplicativo y no solo estén variando el aspecto 👍",
910,"Llevo 1 hora intentando entrar a mi cuenta con mi tarjeta y me sale que no me pertenece, tuve que desinstalar y volver a instalar, además de que cuando yapeas desde la app o pagas no se puede ver el nombre de la persona y no te permite ver el nombre de la persona si te saliste la opción de compartir foto del yapeo.",
911,"La instalo y luego nunca me llega el mensaje de confirmación. Los avisos inesperados perturban la navegación y puedo clicar sin querer aceptando algo que no deseo. A veces abre a veces sale ""ocurrio un error intentalo mas tarde"" dejandome en el aire con mi transacción. La desinstalo, la vuelvo a instalar, ahora cuando termina la instalación no me permite abrir. Por ahora es un desastre.",
912,"Incluyeron más conceptos que prácticamente es lo mismo, la versión anterior estaba muchísimo mejor. La versión actual es un asco y por ser más pesada siempre hay problemas,no facilita al usuario más aún lo complica.....no le daría ninguna estrella pero tengo que hacerlo para poder publicar...q mal",
913,"En los últimos meses la app presenta problemas. El área técnica solo te deriva a la versión web, y la web te solicita token digital de la app y la app no se puede abrir. Es un círculo vicioso de problemas cuya única salida es presentarte a un agente del banco de manera presencial. Una app que debería ayudarte te genera más inconvenientes.",
914,"Con cada actualización, nuevos problemas. A diario hay el mensaje ""ocurrió un problema"". Ya no se puede ni ver los saldos. Toca entrar a la web ya que el app nunca funciona cuando se la necesita. Por otro lado, esos íconos enormes en el mapa de ubicaciones no apunta al verdadero sitio, el puntero era más preciso. Terrible cada diseño.",
915,"La aplicación es malísima! Desde la última actualización ya no se puede entrar salen errores constantemente. Nuevamente, otra actualización y echaron a perder la aplicación más aún. Ya no se puede ingresar, como es posible que esté en producción una app con tantos fallos.",
916,"No tiene forma de actualizar(tipo f5 o deslizar el dedo de arriba a abajo como la app de interbank) rapidamente los saldos, para saber cuanto hay (tienes que salir y entrar de la aplicacion o esperar que we actualize solo que es muy lento). Tampoco le ponen el precio de compra/venta de dolares facilmente como la app de interbank (te obligan a simular una compra).",
917,"La última actualización me parece pésima quitaron un filtro de seguridad, porque ahora queda registrada tu tarjeta y solo te pide clave de Internet, y si me roban el celular es más fácil para ellos ingresar, la anterior estaba genial porque cada vez que ingresabas tenías que colocar los datos de la tarjeta completa y para mí eso era más seguro. Espero lo tomen en cuenta...",
918,"Lo peor, a cada momento sale que ocurrió un error volver a cargar, con la anterior estaba mucho mejor, no ocurría este problema, lo han complicado en vez de mejorarlo, una total porqueria de app sinceramente, regresen a la anterior o vean de que forma lo solucionan porque definitivamente nos están complicando a todos.",
919,"cuando pongo mi clave de 6 dígitos automáticamente se cierra , y es reiterativo , ya lo desinstale y lo volví a instalar y es lo mismo",
920,"Tuve que desinstalar la app, en un equipo me sale que no es más compatible y en otro que se debe actualizar el sistema operativo cuando este está actualizado. Se entiende que la aplicación requiera de ciertas condiciones para operar, pero es el colmo no lo haga con equipos de media gama, cuando no debería tener inconvenientes con Android 7, 8, para arriba. En todo caso, ¿por qué no nos indican con que SO trabaja y qué equipos sí están aptos para vuestra app?",
921,"faltan muchos detalles, como cuando tú transfieres nada sale hora ni fecha, y otros detalles más que están por ahí no vale la pena recordar",
922,"La interfaz es buena, el funcionamiento, y todo lo demás. Lo que no me gusta es que me obliguen a poner contraseña a mi teléfono para poder usar la app. Ninguna otra aplicacion hace eso, pero tengo que colocarle contraseña a mi teléfono solamente para usar la app del bcp. Hubiese preferido que coloquen contraseña en la app misma para no poner en el telefono",
923,"Muy mala, que mala experiencia dando el toquen antiguo, sin poder usar el token digital y hacer mis transferencias automáticamente y cuando quiero activarlo no se puede, ni con huella digital dice que mi móvil no es compatible para esa función, cuando si utilizo esa función para los demás bancos, obligan a pasar el mal rato denuevo en el banco, cuando ellos mismos saben que allí no dan una buena atención.",
924,"Si pudiera darle 0 estrellas le daría, es increíble que varios pagos que realizó en el día de hagan de forma doble sin mí consentimiento (ej. A la hora de comprar algo por internet, realizó la transferencia pero se contabiliza como si lo hubiera hecho dos veces, a pesar que es un pago). Además, es una situación paupérrima sabiendo que BCP no se hará responsable de las pérdidas que se generan con los pagos dobles. Si pueden evitar esta app, háganlo. Una desgracia.",
925,"Una revenda vaina luego de la actualización, ya llevo 1 semana sin poder hacer ninguna transferencia desde la app móvil. La versión anterior tenía todo lo mínimo que se necesitaba. A veces menos es más. Si es que no componente sus problemas, por mi lado consideraté pasar todas mis cuentas a bbva que tiene una app mucho mejor y tasas más bajas.",
926,"No puedo creer que un banco tan importante con millones de usuarios piense en lo bonito que sería con una nueva interfaz, sin darse cuenta que la funcionabilidad de su app este deficiente. En algunos usuarios eliminaron los correos afiliados para envíos de estado de cuenta y no carga su app solo aparece que hay un error. Deberían invertir en qué su app sea rápida y sencilla más que pedir ir al banco para solo poder recibir tu estado de cuenta. Sin duda que la PEOR ACTUALIZACIÓN. BCP 👎",
927,"hay mucho inconveniente con la app, actualmente no me permite ingresar.. automáticamente se sale de la aplicación.",
928,"No sé que esta pasando desde hace una semana que no puedo ingresar a la aplicación, me sale en la pantalla que tienen un problema,esta bien que sea 1 o 3 días pero una SEMANA,no se pasen. Ya desistanle e instale varies veces pero el problema sigue y comienza a ser odioso en vez me mejorar lo han empeorado todo.",
929,Las actualizaciones constantes bloquean el sistema sin dejar chance de realizarlas luego. Tampoco tiene sentido que la plataforma web dependa de esta aplicación para el uso del token virtual. Tenía que hacer una transacción simple y no puedo por Internet o cel hasta que se descargue la actualización,
930,la última actualización no permite utilizar la aplicación literalmente dejo de funcionar con esta actualización.,
931,"Si pudiera ponerle estrellas en negativo lo haría, es más, pagaría por hacerlo, desde la actualización la app solo funciona un 30% del día, eso sin mecionar que el buscador para pagos de servicios y otros no nuestra más de un 10% de los resultados, no puedo ni pagar mi internet win, funciona cuando le da la gana, se la pasa en mantenimiento la mayor parte del día, un desastre.",
932,yo no entiendo es como uno de los bancos más grandes del Perú cierren las oportunidades a personas sin historial crediticio solo tienen es ando y hay que cumplir retos por tres meses deberían como enpesar a emplear micro créditos para que las personas demuestren su seriedad responsabilidad ya que no todos somos deudores ya que en mi caso no Devo a ninguna entidad financiera lo mismo con yape llevo seis meses usando lo frecuentemente y no dan esa opción,
933,"Lamentable que la app no funcione, trato de ingresar y se cierra automáticamente... Tengo que usar la web...",
934,"Tiene demasiados errores, no me feja iniciar sesion, según la app me enviaron un correo de verificación pero llegó cerca de 2 horas después y cuando entre a la app automáticamente solicitó otro codigo que hasta ahora no llega (hace dos días). No sé a que se deba el problema, pero hasta donde sé no me sucede solo a mi.",
935,muy mala experiencia hace una semana intento ingresar ala aplicación y no me responde me rebota y no puedo Aser ningún movimiento no sé si solo Ami o alguien más le pasa esto,
936,que pasa que no se puede entrar a la banca movil horrible..quieren que detalle la razon es q no se puede entrar a la aplicación aunque se ponga la clave no entra q esta pasandooooo 😑😑😑,
937,"No puedo creer lo terrible que se ha vuelto esta aplicación, se ha vuelto más lenta y siempre presenta errores. Es imposible hacer tranferencias interbancarias; cada vez que intento hacerlo, aparece un mensaje de ""error, no se pudo procesar, intentar en 5 minutos"", y literalmente se me pasa toda una mañana queriendo hacer la maldita transacción, lo que resulta ser muy molesto y frustrante, y está situación se ha repetido siempre a lo largo de los últimos meses.",
938,"Pesima app, sinceramente hay veces pienso que lo hacen por molestar, o algo intensionado, pero con cada actualizacion empeora la app, cada vez que ingreso al app hacer algun movimiento, me sale un mensaje indicamdo que estan mejorando el servicio, y tengo que reiniciar el bendito celular para poder acceder a la app. Una empresa tan grande y millonaria como BCP con estos problemas, es inaceptable.",
939,"Desde que lanzaron su actualización en 2021 no puedo ingresar a la app y con ello no puedo hacer ninguna transferencia ya que me pide el bendito token. Llame a servicio técnico le explique que me aparece el mensaje de error que dice ""estamos trabajando en ello"" y lo único que me respondían era que me había equivocado en escribir mi clave que seguro era eso y que espere 24 horas y lo vuelva a intentar. Un desastre su ""actualización""- tengo Android 11 como para que me digan que es mi sistema",
940,"La última actualización es lo peor que podrían haber hecho con la App, un desorden total. La anterior versión si era buena. Pero esta última es un desastre. Lo único bueno es que puedes descargar el comprobante, pero eso no quita lo pésimo que es como App, aún sin esa opción la anterior interface era más ordenada y funcional.",
941,"Malograda totalmente con la actualización, no sabes cuándo va a funcionar, casi siempre te sale el mensaje de que ocurrió un error inesperado y cuando llamas nunca te dan una respuesta, solo dicen que hay problemas y ya no puedes ver todas tus tarjetas como se podía hacer con la versión antigua. Lo peor que han hecho al igual que su nueva versión de Telecredito, totalmente pésimas ambas actualizaciones",
942,"Malísimo, 😡😡😡 desde que actualizaron pésima la app; se supone que antes de lanzar una actualización realizan pruebas! Cada que ingreso sale el mensaje que hubo un error, que están trabajando para seguir malogrando la app. 😡 La anterior versión era muchísimo mejor, más personalizable y por supuesto más estable.",
943,"Cada vez peor ! Inesperadamente se cierra la app, el pago que uno hace o transferencia supuestamente tiene error y te manda al inicio pero luego aparece ya en los movimientos el dscto, y no se puede tener captura de pantalla de dicho pago como constancia o con los datos completos que salen, los cuales en los movimientos no se puede ver ! CADA VEZ MÁS PÉSIMA ESTA APP",
944,"No deja hacer transferencia, se cuelga, o aparece un mensaje de error... pésimo, esta bien antes :/",
945,Está ultima actualización es de lo peor primero que no avisaron nada con todo lo que hay de robo cibernético luego quise pagar servicio tuve que entrar más de tres opciones y no encontré el servicio y por último ahora aparece mis cuatro últimos números en la aplicación y si me roban el celular. No me parece que aparezca en la pantalla principal está perdiendo privacidad.,
946,"UNA PORQUERÍA SU ACTUALIZACIÓN. No sirve para transferir, para pagar servicios, no capta el token digita, etcl. Deberían botar a todos los programadores que realizaron la actualización de su aplicación, supuestamente se prueba antes de lanzarla al público. Error de principiantes.",
947,"Hace varios días no está cargando el app y sale error. Lo he desinstalado y vuelto a instalar varias veces y sigo con el mismo problema. Lo reporté a través de su banca por teléfono y también de manera presencial, pero me dicen q está funcionando correctamente. Otra colega de trabajo también intentó usar el app y le salió lo mismo.",
948,"No puedo realizar transferencias, me sale que vuelva a intentarlo, solo lo que estaba guardado como favorito puede trasferir y tampoco ya no tengo opción de guarda",
949,"Sinceramente la anterior App era mucho mejor que está, hay cosas que uno realiza hacer y no es accesible, como ocultar una cuenta, hacer pagos de la universidad, etc. La app no te ayuda. En este caso la app del banco continental es muy accesible al cliente. Por favor mejorar o regresen la anterior aplicación.",
950,El bcp hoy 30 de abril alas 8.00 pm no puedo entrar ala app y justo tengo que hacer una transferencia por favor arreglar eso que si va haber actualización avisen antes.,
951,"No permite generar el token digital (para poder usarlo en la web), hay operaciones las cuales yo no quiero realizar por celular y necesito hacerlas por la web, y para eso se necesita generar tokens, cada vez que se termina de ingresar la clave, la aplicación se cierra o simplemente regresa a la misma pantalla. Además el sistema del celular ya me indicó en repetidas veces que la aplicación está consumiendo demasiada batería.",
952,"Pésima actualización ya active mi toquen digital en una de las agencias del BCP y aún no puedo realizar movimientos a otros como pagos y depósitos, la verdad la anterior estaba mejor, se supone que cuando actualizas algo es para q sea mejor y no para q te traiga más complicaciones y problemas en su uso. Malísimo BCP una decepción total como siempre cuando cambiarán y nos darán un buen servicio.",
953,"Me preocupa que por seguridad se tengan que ingresar pin de seguridad todavía, otros bancos ya cuentan con ingreso por huella, espero que lo agreguen al igual que paso en yape hace unos días. Por otro lado estaría también ocuparse de colocar el modo oscuro, para algunos nos es necesario pues tenemos problemas con la vista y la fotosensibilidad (bajar el brillo no siempre es bueno)",
954,"Pésima actualización, se para cayendo sus servidores. Cada vez que se intenta hacer transacciones entre mis cuentas sale error. Los pagos de tarjeta no se pueden realizar porque después de seleccionar la tarjeta de origen aparece una notificación que no hay servidor y que ocurrió un error. Los mismos problemas persisten desde hace 2 semanas.",
955,Tengo un Xiaomi Poco M3 y la app demora en cambiar de opciones. Está feo la nueva actualización aparte de que la función para cambiar soles a dólar simplemente no se puede hacer. Me aparece errores con distintos códigos. Ojalá mejoren la compatibilidad con la marca Poco M3 y les recuerdo que la versión y diseño anterior era mucho mejor,
956,"Es una porquería de app, en general los servicios del bcp son una basura. Ni la web funciona para hacer operaciones. Una vez al mes entro para hacer pagos y desde las 8 am no puedo hacerlos. Si no tuviera cuenta sueldo no usaria en absoluto este banco, es mas, prefiero mil veces hacer una transferencia interbancaria o otro banco para hacer mis pagos pero ni eso se puede hacer",
957,"Es increible que hagan ""mejoras"" que lo unico que hacen es perjudicar la practicidad. Aveces menos es mas. Que frustracion intentar por horas acceder a la App y que se quede cargando, te bote por errores, desde que la mejoraron, lo unico que han logrado es q uno se quiera mover de banco o abrir una cuenta en otro q simplemente funcione y no te haga perder el tiempo",
958,"Porque nos hacen más difícil las cosas , esta actualización es terrible , a borrado mi token digital , y cada vez que trato de ingresar me pide ingresar mi DNI al tratar de hacerlo no se puede, me e comunicado con un asesor me dijo que desinstale y vuelva a instalar, pero esto es todas las veces que quiera ocupar el app y cada instalación se pierde el token , por favor solucionen con urgencia !",
959,"Es buena, práctica y nos saca de apuros a los usuarios,lo único malo es que pide actualizar,a veces,solo para nueva publicidad,lo único que la hace algo obsoleta,es que al momento de desinstalar y volver a instalar,pide ir a la agencia para activar el Token digital,en lugar de usar la huella dactilar en el teléfono como hacen ya otras aplicaciones. En castellano, quita tiempo"" Eso no es ""ir al BCP sin ir al BCP""",
960,"La actualización es pésima, la app ahora no funciona. He tenido que desinstalar y volver a instalarlo y ahora no puedo usar mi token digital. Tengo que solicitar otra vez. Como se les ocurre hacer esto sobretodo en esta situación. Espero tb modifiquen la activación del token de forma digital. No puede ser que voy a tener que ir a una plataforma a exponerme para obtener un token.",
961,Malísima me la eh desinstalado más de 5 veces quiero entrar y no me permite igual pasa con la página quiero crear mi clave de internet y no me carga y por último intenté ingresar a la aplicación y nada se demora más de media ora para que al final me diga que están asciendo lo mejor para poder tener una buena atención y que tienen problemas... Una mala experiencia con esta que disque llamarse aplicación,
962,"los servidores nunca funcionan, no deja hacer nada. el inmundo token digital es una completa basura y cuando quieres cambiarlo, no deja. es todo errores. esperé dos días y nada, reinicie el teléfono múltiples veces y no funciona. el soporte ni siquiera te permite preguntar por este error.",
963,"No merece ni calificación. Todavía obligan a calificarlos para poder opinar. Desde que lanzaron la ""nueva aplicación"" es un fastidio. No se pueden mostrar ""mis productos"", siempre ""ocurrió un problema"", y peor el fin de mes ni se podía abrir y salía alerta de que al tercer intento me bloqueaban la cuenta. Osea ustedes sí deciden lo que debe ocurrir pero no dan ni un buen servicio. Exigimos una pronta solución.",
964,"Pésima no accede , pareci un problema temporal pero es el 99% del tiempo. Llamando su solución es reiniciar el dispositivo y si funciona pero solo para 1 acceso , osea la forma de usar es reiniciar el celular y acceder , es un error de programación tan básico que para una empresa de ese calibre es vergonzoso",
965,Inentendible el cambio a la nueva versión. Una interface hipersaturada de información que no permite configurarla una vez que haces el primer seteo. Que limita que se puede ver en la pantalla principal. Parece que el BCP se quería modernizar por el solo hecho de modernizarse sin pensarlo demasiado y hacer un bueb trabajo. Lo peor es en las transferencias en donde primero ponen la cuenta de destino antes que la de origen. Algo anti natural y 100% al revés que la aplicación anterior.,
966,"Un desastre con la última actualización, no se puede ni siquiera acceder! Por qué dañan algo que funcionaba bien? Cuál es la finalidad? En vez de poner más animación mejor habiliten el ingreso con biometría como otras apps, ahora quiero entrar y no carga el teclado, ni con WiFi ni datos móviles. Pésima actualización.",
967,"La anterior versión estaba bien. Pero la actualización, se demora demasiado para cargar la consulta, al hacer transferencia se ha cerrado derrepente la app, está muy lenta. Puede generar muchos problemas, cómo se va a cerrar de golpe. Espero solucionen los inconvenientes pronto, deberían preocuparse por la velocidad y seguridad.",
968,"Desde la actualización tengo problemas con la app, no recibo notificaciones cuando me hacen un depósito o alguna transacción....espero puedan solucionar ese pequeño inconveniente y si hubiera menos de una estrella se lo pondría por el pésimo servicio,sigo esperando la respuesta de que es la falla porque no me llegan las notificaciones.",
969,"Hace poco cambié mi tarjeta porque se había vencido y actualicé el app con los datos de la nueva tarjeta. Ahora cada vez que entro a la aplicación me sale que la tarjeta está bloqueada. Debo desinstalar la aplicación, volverla a instalar y volver a poner los datos que piden para poder hacer algunas transacción. Lo peor es que ni contestan cuando uno llama y la atención en el banco es malísima. 1 hora esperando para entrar al banco, para luego esperar más tiempo dentro. Malísima atención.",
970,"Muchas fallas tiene. Siempre hay errores y mas aun con la nueva versión nunca se sabe cuando estará operativa la app. A veces uno tiene que hacer transferencias y no se puede, y peor aún que no se puede usar el token digital que está en el celular. Estas atado de pies y manos. Una pena por el bcp. 04/11/2021.",
971,"Un desastre está aplicación o al menos mi experiencia. Después de hacer una operación ya no carga los saldos de mis cuentas actualizados, me notifica un error me deslogueo y sale que ocurrió un error luego intento volver a loguearme pero el teclado no carga, al final debo cerrar la aplicación y volverla abrirla por cada operación que haga. Terrible",
972,"Se supone que las actualizaciones son para mejoría y en base a la anterior, pero no todo son solo críticas, aconsejaría volver a la anterior plataforma, ya que la actual tiene demasiado errores, y dejar este beta, probarlo con clientes que estén dispuestos a usarlo para la mejoría, hacerla más intuitiva, están bien las letras grande pero ensajeran un poco. Hacer un cuestionario en donde se vean las fallas por cada usuario, recuerden BCP no todos tienen la pantalla de un iphone 11 o un note,",
973,"Lamentable!! uso mucho esta aplicación que al inicio era más rápida, también hubo algunas mejoras, pero justo ahora que necesito realizar muchos pagos a través de mi banca móvil, me dí con la sorpresa que actualizaron la app y ya no es compatible con el sistema operativo del celular que tengo, hace 2 días lo usaba sin ningún problema, estoy muy indignado, debería haber una entidad que regule estos procedimientos para que nosotros los clientes no seamos afectados de sorpresa. Muy mal BCP!!!!!!!!!",
974,Mal de fatal la ultima actualizacion. Es bonita.. pero un asco en funcionalidad.. ya no salen los titulares del servicio que se paga.. la app se activa a cada rato. Y cuando falla te manda a la web pero no puedes usar banca web porque el token digital no abre por la misma app falla. Regresen a la version anterior y los doy 5 estrellas.,
975,"Apenas la instalé funcionó muy bien,ahora sale un mensaje: ERROR DE CONEXIÓN...la he desinstalado e instalado nuevamente para ver que pasa. Acabo de actualizar la app, y veo que han dejado pasar la oportunidad de que los clientes mejoremos la seguridad, usando la huella dactilar.",
976,"Cada vez esta app esta pésima y muy lenta, en vez de mejorar se pone peor, cada vez que quiero ingresar no se puede y cuando quiero hacer una transferencia se cuelga y dice volver intentar y cuando revisó se realizo la transparencia hasta 3 veces. Hagan algo para que vuelva hacer la versión antigua que era más rápido y eficaz... Esta versión no se merece ninguna estrella más bien una ❌ por mala.. Y encima te obliga a marca una estrella para publicar tu comentario😡😡",
977,"Pésima la actualización del app del BCP, podía pagar mis préstamos sin problemas, ahora resulta que no puedo seleccionar el préstamo que deseo pagar, sino por defecto me selecciona uno. El error no está en eso sino que se debería seleccionar el que tenga la fecha más reciente porque el app me tendría que seleccionar una letra que se vence a fin de mes si hay otra que se vence en quincena? Pésima actualización y tiebe muchas fallas.",
978,"La última actualización no ha satisfecho a muchos usuarios y me incluyo, deberian reconsiderar volver a la versión previa o sobre esa misma implementar algunas mejoras sin cambiar drásticamente la interfaz. Hace tiempo Estoy esperando que en una de estas actualizaciones se incluya la posiblidad de hacer transferencias interbancarias, antes si había esa posibilidad pero ahora ya ni siquiera se puede diferida ni inmediata, una lástima.",
979,Pésima experiencia de usuario. Hace unos meses funcionaba perfectamente bien y ahora me da errores cada vez que quiero realizar una operación. Cambié de equipo e intenté volver a generar el token digital y cada vez me dice que ocurrió un error y que lo intente más tarde. Esta app va cada vez va de mal en peor.,
980,"0 estrellas Harta que nos obliguen a actualizar , no tengo espacio en el equipo, no puedo borrar, tengo archivos importantes, pero si no actualizo no puedo usar la aplicacion porque esta bloqueda , es realmente molesto 😣😣😠 hasta cuando tenemos que soportar este atropello, ni siquiera mejoran el servicio para que al menos valga la pena borrar archivos para actualizar😤😤",
981,"Cada vez que coloco mi clave de 6 dígitos, sospechosamente se cierra la aplicación. Desinstalé y volví a instalar y ahora la app se cierra automáticamente. Permite la estafa por SIM swapping ya que la única validación es por un sms enviado a tu número, esto es un gran fallo de seguridad, y más aún para aquellas personas q no tienen yape o no pueden acceder a la app por los fallos q acabo de mencionar. Mejor es la baja de la cuenta.",
982,"Lamentablemente no hay otra opción que usar esta app. Funcionaba casi bien, pero con cada actualización se vuelve todo lento y hasta la propia instalación. Repito: LAMENTABLEMENTE NO HAY OTRA OPCIÓN. MEJOREN SU SERVICIO. CASI NADIE DA UNA BUENA CALIFICACIÓN. Eso debe indicarles algo. ARREGLO URGENTE DE SU APP, POR FAVOR.",
983,Tenía la Banca Móvil hasta hace unos meses pero después de sus actualizaciones me sale de que no es compatible con mi celular. El hecho de que sea un modelo antiguo no significa que no sea accesible La Banca móvil para todos. ¿ENTONCES COMO PUEDO VERIFICAR MIS TRANSFERENCIAS O MOVIMIENTOS SI NO PUEDO DESCARGAR LA BANCA MÓVIL? Espero que puedan arreglar eso. Porque creo que para todos los usuarios de BCP es muy importante tenerlo. Y no creo ser la única que tenga este problema.,
984,"No se cuando se actualizó pero a parte de que tengo que intentar demasiadas veces entrar, mi token digital esta ""desactivado"" y no puedo hacer ningún trámiten la app, y no hay por ningún lado como solicitar dicho token ya que para todo me piden el numero del token físico! Las actualizaciones deberían ser para mejorar la experiencia no empeorarla,ahora me veo obligada a ir a perder el tiempo en el banco",
985,"La app nisiquiera me deja entrar y ni crear un código y durante todas las veces que he intentado ingresar nunca he podido porque dice que tiene problemas y no se puede, que trabaja en ello, pero siempre me aparece lo mismo significa que no hacen nada, la app pide muchos filtros inútiles y es estresante su supuesta forma de seguridad, no tienen la facilidad ni accesibilidad para subanca móvil. Es completamente una decepción de aplicación como banca móvil.",
986,"Le caería bien otra opción de seguridad para abrir la aplicación al inicio, como la huella digital, para una rápida y mejor eficiencia. Otros aplicativos de bancos ya lo implementaron hace tiempo, y no entiendo por qué el BCP no lo hace.",
987,"Pesima la version se su aplicativo desde la edición del diseño hasta su manejo tengo que instalarlo y volverlo a instalar no es compatible con versiones antiguas de celular te pide que tengas un celular de gama alta....deberian volver a la version antigua...o dar a elegir cual version desearia instalar en su equipo uno ya que es nuestro derecho de elegir y no imponer a que actualicemos la version sino no contamos con el servicio,encima que trabajan con nuestro dinero....ya no hay respeto por el",
988,"La App se reinicia, desinstale y he vuelto a instalar y sucede lo mismo se reinicia y no carga. En vez de enviar a la página de Facebook, en el cual solo te dicen que tienen problemas y están viendo la solución, deberían volver a la versión anterior estable del App y quedaría solucionado. No se dan cuenta cuánto por hora pierde el banco en no cobrar las comisiones de transferencia???...",
989,"Enserio es fastidioso que cada vez que adicionen algo a la app obligadamente tengo que actualizar, no me parece, tenía 2 de batería y quería ver mi estado de cuenta, ingreso a la app y me dicen que tengo que actualizar, lo cancelo y se cierra la app, encima su actualización es sumamente lenta , están igual que las colas del banco !!",
990,"Es buena aplicación solo que falta que pueda dar información de algún movimiento realizado, sin tener que enviar correo alguno, antes se visualizaba en el momento que uno lo requería ahora no es así esto me genera molestia y otro es que casi siempre no puedo realizar movimientos pasada las cero cero horas, imagino que es por seguridad.",
991,"Está pésimo la aplicación desde que lo actualizaron, la versión anterior no tenía muchos problemas, ahora no se puede ver favoritos, no te deja ingresar y a veces no puedes ni transferir dinero, en las noches a veces no funciona. Espero que sea una crítica constructiva y arreglen sus errores que tienen demasiadas.",
992,"Hoy me encuentro ingresando para bloquear mi tarjeta y no funciona dicho acceso!!!. La actualización que han hecho está perjudicando el servicio, no puedo realizar la transferencia desde el app porque me sale que debo automatizar la fecha y hora, cuando me voy a ajustes está en automático. Debía realizar pago hasta hoy, este será mi sustento para poder reclamar. Ojo llamé al call, ingreso el DNI y me sale que no es la información válida, el servicio deja mucho que desear.",
993,"Nunca entiendo por qué algo que funciona bien, insisten con actualizarla y lo empeoran. Un consejo a los usuarios: en Huawei appgallery está la versión anterior de banca móvil BCP ( la que reconocía el token con normalidad) desintalen la nueva y desde la appgallery carguen la antigua. Funciona para todas las marcas de celulares. En youtube está el tutorial para instalar Huawei appgallery.",
994,Mala aplicación. La anterior era mejor y tenias acceso al token inmediatamente a partir de un icono. En la nueva no aparece y además en cada ingreso no termina de instalarse. Estoy considerando cerrar mi cuenta e irme a un banco que tenga una mejor aplicación para operaciones on line.,
995,"La nueva actualización es pésima, el servicio no mejora todo lo contrario, hay errores que tienen que corregir, las operaciones son más complicadas, el objetivo de una aplicación de esta naturaleza es simplificar las operaciones comunes y cotidianas, pero en este caso no cumple con este objetivo, espero pronto que tengan una mejor versión o vuelvan al anterior...",
996,"Malísimo servicio. Es imposible descargar lla aplicación. Funcionaba muy bien la anterior. Como se les ocurre, en las actuales circunstancias, realizar una actualización; ahora no hay forma de hacer operaciones a través de la banca móvil. La idea es que las personas vayan a las oficinas a contagiarse??",
997,"Las actualizaciones no deben ser obligatorias como sucede con otras apps en el mercado. Antes de lanzar una app favor de encuestar, los de sistemas no se crean genios. Si es obligatorio la actualización debe haber una fecha de aviso para prever inconvenientes en el momento de su uso. Una mejora e una app no implica que la capacidad de descarga se duplique, es ineptitud del área de sistemas.",
998,Al principio no podia entrar ... estaba preocupada ni por google ...quiere que pongas preguntas de seguridad y no te deja avanzar mas alla felizmente el warda y el yape si funcionan bien ...Pude entrar a la app pero realmente es muy muy lenta ... ojala no tenga problemas al realizar pagos o transferencias solo por el yape y warda le pondre 2 estrellas,
999,"Pésima App, en vez de mejorar para que sea más sencilla hacen lo contrario, todo lo complicaron. Encima confunden al colocar la cuenta de destino primero al hacer transefrencias o pagos. Si van a hacer algo novedoso háganlo pensando en el usuario no en que se vea más bonita.",
